BGD+MSE:
PSO(29/49): loss=143.0457324695689, w=30.199402545216024, b=161.19032614875542
PSO(30/49): loss=143.0457324695689, w=30.199402545216024, b=161.19032614875542
PSO(31/49): loss=143.03379029504265, w=30.17761456072757, b=161.23769796391406
PSO(32/49): loss=143.03379029504265, w=30.17761456072757, b=161.23769796391406
PSO(33/49): loss=143.03379029504265, w=30.17761456072757, b=161.23769796391406
PSO(34/49): loss=143.03379029504265, w=30.17761456072757, b=161.23769796391406
PSO(35/49): loss=143.03308649357908, w=30.102471192904012, b=161.27637145652412
PSO(36/49): loss=143.03222705908382, w=30.1420650167178, b=161.41516576756356
PSO(37/49): loss=143.02810105862167, w=30.13540785262942, b=161.37861305673297
PSO(38/49): loss=143.02730288188525, w=30.151164431713003, b=161.2869514232859
PSO(39/49): loss=143.0251503715667, w=30.1511071978442, b=161.34061763612925
PSO(40/49): loss=143.0251503715667, w=30.1511071978442, b=161.34061763612925
PSO(41/49): loss=143.0249003444548, w=30.157975536839388, b=161.34257220742327
PSO(42/49): loss=143.02459478832054, w=30.171383579142766, b=161.3406660895289
PSO(43/49): loss=143.02459478832054, w=30.171383579142766, b=161.3406660895289
PSO(44/49): loss=143.02459478832054, w=30.171383579142766, b=161.3406660895289
PSO(45/49): loss=143.02459478832054, w=30.171383579142766, b=161.3406660895289
PSO(46/49): loss=143.02459478832054, w=30.171383579142766, b=161.3406660895289
PSO(47/49): loss=143.02459478832054, w=30.171383579142766, b=161.3406660895289
PSO(48/49): loss=143.0245654650476, w=30.169543656358307, b=161.3344015130335
PSO(49/49): loss=143.0245654650476, w=30.169543656358307, b=161.3344015130335
Learn: execution time=0.400 seconds
R2: 0.8470511351427747
MSE: 137.55537608262247
RMSE: 11.728400405964253
MAE: 9.180272068261411
PSO+MAE:
PSO(0/49): loss=12.785207190681703, w=27.846619485318925, b=153.34521970625408
PSO(1/49): loss=12.31710346131639, w=26.07731954777465, b=154.6383284148497
PSO(2/49): loss=10.038600991727055, w=31.671292520871646, b=168.26165027811248
PSO(3/49): loss=9.322212689392193, w=28.628968218092403, b=162.27390049149946
PSO(4/49): loss=9.322212689392193, w=28.628968218092403, b=162.27390049149946
PSO(5/49): loss=9.322212689392193, w=28.628968218092403, b=162.27390049149946
PSO(6/49): loss=9.322212689392193, w=28.628968218092403, b=162.27390049149946
PSO(7/49): loss=9.322212689392193, w=28.628968218092403, b=162.27390049149946
PSO(8/49): loss=9.322212689392193, w=28.628968218092403, b=162.27390049149946
PSO(9/49): loss=9.322212689392193, w=28.628968218092403, b=162.27390049149946
PSO(10/49): loss=9.322212689392193, w=28.628968218092403, b=162.27390049149946
PSO(11/49): loss=9.322212689392193, w=28.628968218092403, b=162.27390049149946
PSO(12/49): loss=9.136386837544501, w=29.59212930707987, b=164.46649093772697
PSO(13/49): loss=9.136386837544501, w=29.59212930707987, b=164.46649093772697
PSO(14/49): loss=9.136386837544501, w=29.59212930707987, b=164.46649093772697
PSO(15/49): loss=9.136386837544501, w=29.59212930707987, b=164.46649093772697
PSO(16/49): loss=9.136386837544501, w=29.59212930707987, b=164.46649093772697
PSO(17/49): loss=9.136386837544501, w=29.59212930707987, b=164.46649093772697
PSO(18/49): loss=9.136386837544501, w=29.59212930707987, b=164.46649093772697
PSO(19/49): loss=9.136386837544501, w=29.59212930707987, b=164.46649093772697
PSO(20/49): loss=9.136386837544501, w=29.59212930707987, b=164.46649093772697
PSO(21/49): loss=9.136386837544501, w=29.59212930707987, b=164.46649093772697
PSO(22/49): loss=9.136386837544501, w=29.59212930707987, b=164.46649093772697
PSO(23/49): loss=9.135908511306706, w=29.113873122610684, b=164.3453210134553
PSO(24/49): loss=9.132243301776784, w=29.512395165212787, b=164.0314720745204
PSO(25/49): loss=9.132243301776784, w=29.512395165212787, b=164.0314720745204
PSO(26/49): loss=9.129691574806035, w=29.405740159609326, b=164.1784705875848
PSO(27/49): loss=9.129691574806035, w=29.405740159609326, b=164.1784705875848
PSO(28/49): loss=9.129691574806035, w=29.405740159609326, b=164.1784705875848
PSO(29/49): loss=9.129691574806035, w=29.405740159609326, b=164.1784705875848
PSO(30/49): loss=9.129691574806035, w=29.405740159609326, b=164.1784705875848
PSO(31/49): loss=9.129691574806035, w=29.405740159609326, b=164.1784705875848
PSO(32/49): loss=9.129408231472773, w=29.361142104092526, b=164.1413493026421
PSO(33/49): loss=9.129340146176983, w=29.338706745814495, b=164.12903347290705
PSO(34/49): loss=9.129209746828254, w=29.314637282595886, b=164.12083916663255
PSO(35/49): loss=9.129209746828254, w=29.314637282595886, b=164.12083916663255
PSO(36/49): loss=9.129145909370974, w=29.30506732395052, b=164.11863034344003
PSO(37/49): loss=9.12908497740167, w=29.33909606053787, b=164.15167783227585
PSO(38/49): loss=9.129077228150857, w=29.339066128538903, b=164.15233151251718
PSO(39/49): loss=9.129077228150857, w=29.339066128538903, b=164.15233151251718
PSO(40/49): loss=9.129077228150857, w=29.339066128538903, b=164.15233151251718
PSO(41/49): loss=9.12890588967028, w=29.330929645625076, b=164.16069657528203
PSO(42/49): loss=9.12890588967028, w=29.330929645625076, b=164.16069657528203
PSO(43/49): loss=9.128839774295912, w=29.34219908195714, b=164.20648108156738
PSO(44/49): loss=9.128839774295912, w=29.34219908195714, b=164.20648108156738
PSO(45/49): loss=9.128839774295912, w=29.34219908195714, b=164.20648108156738
PSO(46/49): loss=9.128839774295912, w=29.34219908195714, b=164.20648108156738
PSO(47/49): loss=9.128839774295912, w=29.34219908195714, b=164.20648108156738
PSO(48/49): loss=9.128839774295912, w=29.34219908195714, b=164.20648108156738
PSO(49/49): loss=9.128839774295912, w=29.34219908195714, b=164.20648108156738
Learn: execution time=0.209 seconds
R2: 0.8462668276683515
MSE: 163.79694956704077
RMSE: 12.798318231980355
MAE: 10.674081758011512
